,EV_type,Year,USA_vol,Wa_vol
0,BEV,2010,1200.0,19
1,BEV,2011,9800.0,700
2,PHEV,2011,8000.0,76
3,PHEV,2012,39000.0,868
4,BEV,2012,15000.0,766
5,BEV,2013,48000.0,2859
6,PHEV,2013,49000.0,1591
7,PHEV,2014,55000.0,1750
8,BEV,2014,63000.0,1768
9,BEV,2015,71000.0,3556
10,PHEV,2015,43000.0,1278
11,PHEV,2016,73000.0,1755
12,BEV,2016,87000.0,3761
13,BEV,2017,100000.0,4518
14,PHEV,2017,94000.0,4054
15,PHEV,2018,120000.0,4374
16,BEV,2018,240000.0,9923
17,BEV,2019,240000.0,8908
18,PHEV,2019,85000.0,1980
19,PHEV,2020,64000.0,1765
20,BEV,2020,230000.0,9905
21,BEV,2021,470000.0,15142
22,PHEV,2021,160000.0,3821
23,PHEV,2022,190000.0,4346
24,BEV,2022,800000.0,23377
